,period,inter,direc,cycle,type,pollutant,emi,sim,fuel
661,morning1,Hwy401,NB,47,21,Total Energy,6264808640.51,0,355.5015263788409
663,morning1,Hwy401,NB,46,21,Total Energy,8776397449.880001,0,832.9575781434048
667,morning1,Hwy401,NB,45,21,Total Energy,6714518638.52,0,339.95845736067275
670,morning1,Hwy401,NB,44,21,Total Energy,2930861982.727,0,403.8312677958419
674,morning1,Hwy401,NB,43,21,Total Energy,6743501644.77,0,785.8441698608377
676,morning1,Hwy401,NB,42,21,Total Energy,3669372944.452,0,288.05354959052374
678,morning1,Hwy401,NB,41,21,Total Energy,7015193413.45,0,898.407888969796
681,morning1,Hwy401,NB,40,21,Total Energy,7142037915.0599985,0,293.63604501788456
684,morning1,Hwy401,NB,39,21,Total Energy,2482534549.77,0,284.78416790451666
688,morning1,Hwy401,NB,38,21,Total Energy,5118965860.190001,0,404.1547349653225
691,morning1,Hwy401,NB,37,21,Total Energy,5252035004.440001,0,300.8175164424856
693,morning1,Hwy401,NB,36,21,Total Energy,5908913320.78,0,353.43405446675683
696,morning1,Hwy401,NB,35,21,Total Energy,6936740167.05,0,673.3808765712704
698,morning1,Hwy401,NB,34,21,Total Energy,7567991404.14,0,490.64749772337206
701,morning1,Hwy401,NB,33,21,Total Energy,2566058710.2520003,0,151.09265490711658
704,morning1,Hwy401,NB,32,21,Total Energy,8490569543.52,0,959.601481095784
707,morning1,Hwy401,NB,31,21,Total Energy,8801943886.76,0,476.9294022925562
709,morning1,Hwy401,NB,30,21,Total Energy,4814527685.32,0,214.2265377115193
712,morning1,Hwy401,NB,29,21,Total Energy,3713152851.68,0,256.7627502428954
716,morning1,Hwy401,NB,28,21,Total Energy,3278323594.552,0,282.87656771033875
720,morning1,Hwy401,NB,27,21,Total Energy,8926190474.43,0,869.4362290991996
723,morning1,Hwy401,NB,26,21,Total Energy,4189301941.77,0,370.16682346095865
725,morning1,Hwy401,NB,25,21,Total Energy,7606110601.139998,0,858.4784422502048
727,morning1,Hwy401,NB,24,21,Total Energy,2726125566.936,0,139.40872009822226
729,morning1,Hwy401,NB,23,21,Total Energy,5094549511.34,0,512.7466987601872
731,morning1,Hwy401,NB,22,21,Total Energy,5576983148.41,0,237.13709295620143
734,morning1,Hwy401,NB,21,21,Total Energy,6360936050.26,0,385.2170208748007
738,morning1,Hwy401,NB,20,21,Total Energy,6856070696.18,0,377.9527218782828
742,morning1,Hwy401,NB,19,21,Total Energy,3519804616.7790008,0,387.57405505851744
746,morning1,Hwy401,NB,18,21,Total Energy,5636700180.690001,0,761.0730127118345
749,morning1,Hwy401,NB,17,21,Total Energy,4225537125.6,0,395.4324895989023
751,morning1,Hwy401,NB,16,21,Total Energy,7949095666.88,0,685.9571513886793
754,morning1,Hwy401,NB,15,21,Total Energy,9217426876.72,0,510.09897848576765
758,morning1,Hwy401,NB,14,21,Total Energy,5162044166.3,0,482.9883522654986
761,morning1,Hwy401,NB,13,21,Total Energy,5122666988.21,0,139.5330079714069
765,morning1,Hwy401,NB,12,21,Total Energy,6065705398.860001,0,333.9413912266112
769,morning1,Hwy401,NB,11,21,Total Energy,6136137694.190001,0,452.81933336382514
773,morning1,Hwy401,NB,10,21,Total Energy,5292572790.77,0,301.10542322543967
776,morning1,Hwy401,NB,9,21,Total Energy,4278567358.71,0,537.6343929521122
779,morning1,Hwy401,NB,8,21,Total Energy,6509910754.55,0,296.27354579466044
783,morning1,Hwy401,NB,7,21,Total Energy,5156066501.809999,0,319.36941365328397
786,morning1,Hwy401,NB,6,21,Total Energy,4303329095.440001,0,276.9718150414394
789,morning1,Hwy401,NB,5,21,Total Energy,3828260562.23,0,437.5767363780127
792,morning1,Hwy401,NB,4,21,Total Energy,5857093561.82,0,846.7476091964197
796,morning1,Hwy401,NB,3,21,Total Energy,3498187488.5059996,0,254.95144377271808
798,morning1,Hwy401,NB,2,21,Total Energy,5172829907.27,0,299.7449369348414
802,morning1,Hwy401,NB,1,21,Total Energy,6146498307.38,0,387.36156156445463
803,morning2,Dunbar,SB,35,21,Total Energy,2972358040.206,0,297.31764392445234
804,morning2,Dunbar,SB,34,21,Total Energy,2718641396.25,0,362.1970658767729
807,morning2,Dunbar,SB,33,21,Total Energy,2387151604.91,0,216.57361964544026
809,morning2,Dunbar,SB,32,21,Total Energy,3642349014.797,0,286.3965158763206
811,morning2,Dunbar,SB,31,21,Total Energy,3870942611.37,0,364.3791554732312
814,morning2,Dunbar,SB,30,21,Total Energy,3685065191.697,0,323.2456378510032
817,morning2,Dunbar,SB,29,21,Total Energy,6202735387.41,0,313.7911815481842
819,morning2,Dunbar,SB,28,21,Total Energy,1346723211.283,0,143.80749062602146
822,morning2,Dunbar,SB,27,21,Total Energy,2794559826.3970003,0,115.96403796841624
825,morning2,Dunbar,SB,26,21,Total Energy,2954345042.6280003,0,157.7315583740403
828,morning2,Dunbar,SB,25,21,Total Energy,3331966888.5540004,0,331.60676778826087
829,morning2,Dunbar,SB,24,21,Total Energy,3432659239.791,0,319.00629419299673
832,morning2,Dunbar,SB,23,21,Total Energy,3696313902.754,0,455.8194516143484
834,morning2,Dunbar,SB,22,21,Total Energy,3035442148.488,0,138.03643971839702
838,morning2,Dunbar,SB,21,21,Total Energy,2727214789.854,0,180.48671455836327
